able 1     about 7     above 1     absurd 1     achtenberg 2
acknowledged 1     across 2     added 1     adjacent 1     affecting 1
ago 2     all 2     also 5     although 1     always 1
among 1     an 4     and 23     anti-business 1     appeal 1
appear 1     appears 1     are 6     area 5     area's 1
areas 2     around 1     as 9     assets 1     assiduously 1
associates 1     at 2     attracting 2  attractive 1  attractiveness 1
baltimore 1     bay 6     be 7     became 1     because 1
become 1     been 4     being 2     belongs 1     benefiting 1
benefits 1     bit 1     blue-collar 1     boomlet 1     boosters 1
bought 1     bridge 1     brown 6     brown's 1     budget 1
building 3     buildings 3     bureaucracy 1  business 2  businesses 1
buy 1     buying 1     by 3     california 2     calls 1
can 2     can't 1     central 2     chamber 1     changes 1
characterized 1     chief 1     cited 1     cities 3     city 8
city" 1     city's 6     class 3     claudine 1     clients 2
comeback 1     commerce 1     companies 7     company 3     company's 1
comparison 1     concentrated 1     concern 1  concerned 1  concerns 1
constituents 1     continued 1     contrast 1  corporate 2  corporations 1
councilwoman 1     country 1     courts 1     creating 1     creativity 1
credit 1     day 1     dco 1     deals 1     decade-long 1
decline 1     delighted 1     derived 1     designs 1     despite 1
deteriorating 1     developers 3     developing 1     development-oriented 1
 displacing 1
disposable 1     diversity 1     do 1     done 1     dot-com 1
downtown 4     downtown's 1     dropped 1     early 1     economic 1
economy 3     edmund 1     effective 1     efficient 1     emerged 1
enjoying 1     enthusiasm 1     entrepreneurs 1     environment 1     estate 3
estimates 1     even 2     ever 1     every 2     everyone 1
evicted 1     evident 1     excluding 1     executive 1     expansion 1
expensive 1     experience 1     extracting 1     fact 1     factor 1
factors 1     failing 1     fastest-growing 1     favor 1     feet 1
fell 1     few 3     fifteen 1     fill 1     five 3
focus 1     foot 3     for 12     force 1     forces 1
former 2     four 1     francisco 15     from 10     gained 1
get 2     giant 1     go 1     going 1     governor 1
grew 1     grown 1     growth 1     had 2     half 1
hands 1     hardly 1     has 15     have 5     he 5
he's 1     heart 1     helps 1     high- 2     high-end 1
higher 1     his 7     hit 1     home 1     hometown 1
hostile 1     idea 1     if 2     important 1     in 35
inc 1     includes 2     including 2     income 1     industrial 1
industry 1     international 1     into 1     intrinsic 1     investment 1
is 13     it 5     it's 3     its 4     jerry 2
john 1     join 1     jr 1     july 1     june 1
just 1     kinds 1     kitchens 1     large 1     largely 3
last 3     laundries 1     leader 1     leaving 1     less 1
less-desirable 1     less-expensive 1     like 3     limited 1     location 1
lofts 1     lower 2     luxury 1     made 1     madison 2
main 1     major 3     many 4     map 1     market 1
marshall 3     matter 1     may 1     mayor 1     mayor's 1
me 1     metropolitan 1     middle-class 1     middle-income 1     migrate 1
million 4     minutes 1     months 1     more 3     most 1
move 3     moved 2     mr 13     ms 3     much 3
nadel 2     nancy 1     natural 1     near 1     neighborhood 1
neighboring 1     new 5     new- 1     new-economy 1     next 1
no 3     not 2     now 2     oakland 17     oakland's 6
occupied 1     of 23     office 5     offices 1     okla 1
old- 1     older 1     older-economy 1     on 4     once-neglected 1
one 3     opportunities 1     or 3     osipow 2     other 3
others 1     out 1     owns 1     park 2     parking 1
particularly 1     pay 1     people 3     percent 4     place 1
plastics-trading 1     plummeting 1     point 1     points 1     policies 1
policy 1     poor 2     popping 1     populations 1     president 3
prime 1     programs 1     projects 1     properties 2     property 1
prospective 1     protopappas 9     provide 1     public 2     put 1
quality 1     raising 1     rapid 1     rate 2     rates 3
real 3     really 1     recalled 1     refer 1     reflection 1
region 1     regions 1     regrets 1     remake 1     renaissance 1
rent 1     rents 5     represents 1     resident 1     residential 3
residents 4     restaurants 2     result 2     resurgence 2     retrenchment 1
returning 1     revival 2     right 1     rising 1     roberta 1
roughly 2     safety 1     said 7     san 15     sang 1
sanitation 1     say 1     says 3     scores 1     seek 1
seemed 1     seen 1     sell 1     senior 1     service 1
services 1     seven-person 1     shakeout 1     shares 1     she 4
shorenstein 1     signature 1     silicon 1     simply 1     six 1
slowly 1     smart 1     so 2     social-service 1     space 6
square 4     standards 1     started 2     steven 1     still 2
stores 2     strategy 1     stride 1     sublease 1     suffered 1
supervisor 1     support 1     sure 1     surge 1     surprised 1
system 1     tacoma 1     take 1     taking 1     taxes 1
tech 1     technology 3     tend 1     than 3     that 13
the 60     their 2     them 2     there 3     these 1
they 2     this 2     through 1     time 1     times 1
to 32     today 2     told 1     top- 1     tough 1
tower 3     traditionally 1     train 1     transfer 1     transit 1
tribune 4     trust 1     trusts 1     tulsa 1     unfashionable 1
unit 1     units 1     up 1     vacancy 3     valley 2
values 1     very 1     vice 1     virtually 1     visionary 1
walking 1     walter 1     want 3     wanted 1     was 4
wash 1     we're 1     well 1     went 1     were 2
what 1     when 3     where 1     which 6     while 2
who 4     will 1     with 9     within 1     work 1
worked 1     working 1     would 2     year 2     years 6
yet 2     you 1
