about 2     according 1     acquisition 1     acquisitions 1     actual 1
adding 1     addition 1     additional 1     advisory 1     after 3
again 1     against 3     aligned 1     all 1     also 1
alternative 2     alto 1     always 1     among 1     amount 3
an 7     analysts 1     and 26     anonymity 1     any 3
approaches 1     april 2     are 9     area 1     around 1
as 12     assets 1     at 13     author 1     authority 1
average 1     avoid 1     aware 2     away 1     back 2
bad 1     bank 1     bankrupted 1     based 1     basically 1
be 8     became 1     because 7     been 2     before 1
began 2     being 1     believed 4     big 2     bill 3
bills 6     bite 1     bits 1     borrow 1     borrowed 3
bought 1     but 10     buy 2     by 5     calif 2
called 1     came 1     can 4     capital 1     cases 1
cash 1     cashed 1     caught 2     center 1     cents 2
certain 2     certificates 1     chart 1     chief 2     cisco 1
clean 1     close 2     co-founded 1     co-founder 1     code 3
collapsed 1     come 2     companies 7     companies' 1     company 7
company's 2   compensation 1   complete 1   complex 1     composite 1
conditions 1  consequences 1   consider 1   contends 1    continued 1
contributed 1     could 5     cover 1     crap 2     create 1
created 1     criticizes 1     culture 1     current 1     date 1
david 1     day 1     debts 3     dec 1     december 1
decide 1     decided 1     declared 1     deep 1     denial 1
did 1     didn't 2     diethelm 2     different 1     differing 1
director 1     disbelief 1     disclosed 1     discovered 1     doing 1
dollars 1     down 2     dozens 1     dreams 1     dropped 1
dumping 1     e-commerce 1     each 2     early 1     employee 3
employees 14     employees' 1     employers 1     emusic 1     enables 1
end 1     ended 1     engineers 1     enough 1     ensure 1
epicenter 1     erase 1     erwin 1     essentially 1     estimate 1
euphoria 1     evaporated 1     even 6     everyone 1     exactly 1
example 1     exceeded 1     excess 1     executive 1     executives 3
exercise 3     exercised 2   exercising 1   expected 2   experience 1
experts 1     explain 1     face 1     facing 1     failed 1
fallen 2     falls 1     far 1     father 1     faults 1
feared 1     fell 2     few 1     final 1     financial 4
fire-sale 1     firm 1     first 1     flawless 1     focusing 1
for 12     foreclosed 1     form 1     former 3     formula 1
found 1     friday's 1     from 7     full 1     gain 4
gains 7     generally 1     get 1     given 1     go 2
goal 1     going 2     got 2     grandiosity 1     great 1
greed 3     greedy 1     group 1     growing 1     guidance 1
had 2     hallucination 1     handful 1     hangover 2     has 2
have 7     he 24     heavily 1     held 1     helped 1
high 1     him 1     his 5     hit 1     hold 1
holding 2     hole 1     hoping 1     how 2     howell 2
huge 1     hundreds 4     if 7     ignorance 2     immediately 2
imposed 1     impossible 1     in 34     including 1     incur 1
index 1     injury 1     insiders 1     insisted 1     instant 3
insult 1     intended 1     intending 1     interests 1     internal 1
internet 4     intertrust 8     into 1     invest 1     investors 4
involved 1     is 13     issued 2     it 10     it's 1
its 4     joseph 1     just 3     kaye 1     kind 4
knew 1     knowingly 1     known 1     last 3     late 1
law 1     learning 1     least 1     leaving 1     led 1
left 1     lena 1     lenowitz 1     lets 1     liabilities 1
liability 4     like 2     little 1     loan 1     lockup 1
look 1     losses 2     low 1     lower 4     lowering 1
luck 1     makes 1     many 8     margin 1     market 7
martino 2     matter 1     maximize 1     may 1     mean 1
means 1     media 1     message 1     meticulously 1     microsoft 1
million 7     millionaires 1     minimize 1     minimum 3     minute 1
mismanagement 1     modification 1     money 4     month 1     months 1
more 9     most 1     move 1     mr 8     ms 1
much 1     multimillion-dollar 1     music 2     must 1     nasdaq 3
nasty 1     national 1     needs 1     never 1     new 1
no 1     nonprofit 1     not 7     now 4     oakland 1
october 1     of 48     off 1     offering 1     officer 2
offset 1     often 1     on 18     one 3     only 3
onto 2     opportunity 1     option 4     options 26     or 1
organizational 1     other 3     others 3     out 5     over 2
overcome 1     overwhelmed 1     owe 2     owes 1     own 1
ownership 1     owns 1     paid 1     palo 1     panic 1
paper 3     paul 1     pay 3     peak 1     people 10
percent 4     period 1     personal 1     phantom 1     pieces 1
plan 1     planned 1     plummets 1     plunged 1     pocket 1
potential 1     practice 1     prescription 1   presumed 1     previous 1
price 5     prices 2     prices" 1     probably 1     problem 6
problems 1     profits 2     prohibited 1     promised 1     proud 1
provide 1     public 2     purchase 2     purchased 3     purchases 1
putting 1     rate 2     real 3     realized 1     really 2
reason 1     rebound 1     receive 2     received 1     recent 1
recipients 4     recommend 1     record 1     recover 1     reflecting 1
regulators 1     remains 1     reports 1     required 1     rescinding 1
research 1     resisted 1     restrictions 1     return 1     revenue 1
right 2     rise 2     rises 1     risk 4     risks 1
rock-bottom 1     rose 1     rout 1     rushed 1     saddling 1
said 14     sale 1     sales 1     saw 1     say 6
saying 1     says 2     scare 1     secure 1     securities 1
seemed 3     sell 6     selling 4     send 1     senior 1
sense 1     service 1     set 1     several 1     shareholder 1
shareholders 1     shares 13     she 2     shoot 2     shorter-term 1
should 1     shouldn't 1     shows 1     silicon 1     slate 1
smart 1     snared 1     so 5     soaring 1     software 1
sold 1     some 5     soon 1     specialist 2     specialists 2
specifically 1     spread 3     spring 1     squeeze 1     start-up 1
started 1     statements 1     step 1     steps 1     still 1
stock 39     stockbrokers 1     stocks 2     struck 1     subject 1
substantial 1     such 1     sure 1     surge 1     systems 1
take 2     talks 1     tax 33     taxed 4     taxes 6
technologies 1     tells 1     tens 1     than 7     that 21
that's 1     the 93     their 20     them 4     then 3
there 5     they 17     things 2     think 1     this 4
thomas 1     those 1     though 4     thought 1     thousands 4
through 2     time 2     to 45     too 1     took 2
total 1     traced 1     trading 1     transactions 1     trap 1
